time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-02 00:00:00+00:00,7,5,0,0
2026-04-03 00:00:00+00:00,8,8,0,0
2026-04-04 00:00:00+00:00,7,7,0,0
2026-04-05 00:00:00+00:00,14,7,0,0
2026-04-06 00:00:00+00:00,22,10,0,0
2026-04-07 00:00:00+00:00,21,10,0,0
2026-04-08 00:00:00+00:00,22,10,0,0
2026-04-09 00:00:00+00:00,6,4,0,0
2026-04-10 00:00:00+00:00,11,7,0,0
2026-04-11 00:00:00+00:00,29,10,0,0
2026-04-12 00:00:00+00:00,15,6,0,0
2026-04-13 00:00:00+00:00,25,8,0,0
2026-04-14 00:00:00+00:00,14,5,0,0
2026-04-15 00:00:00+00:00,26,9,0,0
